Name,URL,Status,Notes,Date Checked
Super Smash Flash 2,https://flashmath1.github.io/1.html,Broken,Black Screen,12/3/2020
Tetris,https://flashmath1.github.io/2.html,Almost Perfect,Sometimes cannot rotate blocks,12/3/2020
Pokemon Tower Defense 2,https://flashmath1.github.io/3.html,Broken,Black Screen,12/3/2020
Learn to Fly 2,https://flashmath1.github.io/4.html,Broken,"Flying is Broken, Slightly Broken Graphics",12/3/2020
Gun Mayhem 2,https://flashmath1.github.io/5.html,Perfect,Appears to be working perfectly,12/3/2020
Clicker Heroes,https://flashmath1.github.io/6.html,Broken,White Screen,12/4/2020
Duck Life 3,https://flashmath1.github.io/7.html,Perfect,Appears to be working perfectly,12/4/2020
Flight,https://flashmath1.github.io/8.html,Broken,Error Message,12/4/2020
Feudalism 2,https://flashmath1.github.io/9.html,Perfect,Appears to be working perfectly,12/4/2020
Bouncy Heroes,https://flashmath1.github.io/10.html,Perfect,Appears to be working perfectly,12/4/2020
